category,subcategory,value,scenario,tone,note
headline_4,function,極效煥膚,*,*,功能訴求-通用
headline_4,function,極效修護,*,*,功能訴求-通用
headline_4,function,極效煥肌,*,*,功能訴求-通用
headline_4,function,深層煥活,*,*,功能訴求-通用
headline_4,function,逆轉肌齡,*,*,時間訴求
headline_4,function,煥活光彩,*,*,結果訴求
headline_4,function,潤透淨白,*,*,日系-透明感
headline_4,function,毛穴緊緻,*,*,日系-毛孔
headline_4,function,艷光透肌,*,*,日系-光感
headline_4,function,瞬透光感,*,*,日系-光感
headline_4,function,深層滋潤,*,*,日系-保濕
headline_4,function,潤澤水感,*,*,日系-水感
headline_4,function,煥潤光肌,*,*,日系合成詞
headline_4,function,透膚淨潤,*,*,日系合成詞
headline_4,function,亮采淨白,*,*,亮白訴求
headline_4,function,豐盈彈嫩,*,*,彈潤訴求
headline_4,function,緊緻美肌,*,*,緊緻訴求
headline_4,function,熟齡逆襲,*,*,熟齡訴求
headline_4,luxury,緻禮尊享,festival,luxe,節慶限定
headline_4,luxury,寵奢回饋,festival,luxe,節慶限定
headline_4,luxury,尊榮鉅獻,festival,luxe,節慶限定
headline_4,luxury,極選緻獻,festival,luxe,節慶限定
headline_4,luxury,華貴禮讚,festival,luxe,節慶限定
headline_4,luxury,華麗鉅惠,festival,luxe,節慶限定
headline_4,luxury,雅緻獻禮,festival,luxe,節慶限定
headline_4,luxury,豐潤獻禮,festival,luxe,節慶限定
headline_4,time,一滴喚活,*,*,瞬效感
headline_4,time,24H 修護,*,*,全天感
headline_4,time,瞬效逆齡,*,*,瞬效感
headline_4,time,即刻煥膚,*,*,瞬效感
headline_4,time,7日有感,*,*,週期感
headline_4,time,28日蛻變,*,*,週期感
headline_4,time,每日一滴,*,*,日常感
headline_4,time,夜間修護,*,*,時段感
headline_4,time,晨光煥肌,*,*,時段感
headline_4,time,即刻有感,*,clinical,瞬效感
headline_4,power,極限美容,award,*,程度極致
headline_4,power,高濃度純粹,award,*,程度極致
headline_4,power,純粹維他命C,award,*,純粹訴求
headline_4,power,NEO 進化,newproduct,*,新品專用
headline_4,power,究極濃密,award,*,日系-究極
headline_4,power,究極煥活,award,*,日系-究極
headline_4,power,純度MAX,award,*,日系-純度
headline_4,power,高純度結晶,award,clinical,科學感
headline_4,power,專科級配方,*,clinical,專業感
headline_4,power,研究所同款,*,clinical,專業感
headline_4,power,皮膚科推薦,*,clinical,專業感
headline_4,emotional,守護美麗,festival,*,情感訴求
headline_4,emotional,綻放自信,*,*,情感訴求
headline_4,emotional,寵愛自己,*,*,情感訴求
headline_4,emotional,美麗無齡,*,*,情感訴求
headline_4,emotional,自信由肌,*,*,情感訴求
headline_4,emotional,光感人生,*,*,情感訴求
sub,product,高濃度純維他命C精華,*,*,標準產品介紹
